content,username,Sentiment
"TAYANG PERDANA!

Film Rafathar menceritakan tentang sepasang perampok profesional yang diperankan @raffinagita1717 dan @babe_cabita05.

Gimana mereka menjalankan misi untuk menculik Rafathar?

Nonton yuk keseruannya SORE INI pukul 15.45 WIB hanya di @officialrcti

#RafatharRCTI https://t.co/3UFbuqWkaV",OfficialRCTI,positive
@fakhrirazi5000 @RaffiAhmadLagi @babecabita @OfficialRCTI Wahh Film Rafathar Jadi Pengen Nonton Nihh,aldirenaldi0212,positive
"Ini Dia Nominasi Pemain Film Aktor Terbaik untuk Year-End Awards 2017
Rizky Febian @rizky_febian (Cahaya Cinta Pesantren)
Dimas Aditya (Pengabdi Setan)
Raffi Ahmad @RaffiAhmadLagi (Rafathar)
Raditya Dika @radityadika (The Guys)
Gilang Dirga @GilangDirga (Surau dan Silek)",limjingyuan,positive
"@RaffiAhmadLagi @Rafathar_movie Semoga film horornya RANS @RaffiAhmadLagi  the secret ""suster ngesot urban legend"" Sukses &amp; banyak penonton nya.. aamiin YRA..",septi_nu_ria,positive
"cek Berita alay minggu ini
1. Mama Rafathar d film sdh menikah ( selamat Fazura..🙏🏻)
2. drama alay SS ‘like’ bikin ribut [kebiasaan g cek ricek reaktif!]😡
3. Papa/Mamanya aa beibii bikin film lagi! kurun waktu 1-2bln sdh 4film, Produktif! keren....👏👌👍",NKA_10,positive
Keren film Rafathar lah \m/ https://t.co/gPBurbfXW9,andhikaattar,positive
"@MajelisLucu @radityadika Padahal saya yakin, jika video Radit semalem di upload, viewersnya akan ngalahin jumlah penonton film Rafathar!! Yg notabene film terbaik!!😂",Dhimasrichvan,positive
"@RaffiAhmadLagi Smg Gigi,Rafathar&amp;Raffi @RaffiAhmadLagi Sehat trus, Bahagia lahirbatin,Sukses&amp; Berkah Film&amp;Bisnis2nya😇Smg acra sampah Pesbukers sgra BUNGKUS",septi_nu_ria,positive
"Semoga sukses bisnis dan film nya 😇
#Rans
#Rafathar",meggyperr_17,positive
@PLAYMFS sumpah film rafathar ga seru :(,jongkaaa,positive
"Ada aja yg komentar ""aku ingin pindah ke meikarta"" dan ""film rafathar jelek"" di forum2 berita online akhir2 ini😅😅",hardjonology,negative
Keren film rafathar masuk nomonasi penata efek visual (CGI) https://t.co/FDHMGLk4xc,siskaimut122,positive
"@raffiah54713432 @Rafathar_movie Bismillah...Semoga film RAFATHAR Sukses &amp; Berkah di Malaysia 🙏🙏🙏Smg Ransfathar @RaffiAhmadLagi sllu dilindungi&amp;diberkahi , Happy&amp;Sehat trus😇",septi_nu_ria,positive
"@raffiah54713432 @Rafathar_movie Alhamdulillah...Smoga film RAFATHARnya Sukses&amp;Berkah d Malaysia..aamiin YRA 🙏🙏🙏 Smg Raffi,Nagita,Rafathar @RaffiAhmadLagi Sehat&amp;Happy Slalu🙏",septi_nu_ria,positive
@RaffiAhmadLagi semoga sukses film rafathar'a di malaysia,vivia_francisca,positive
"Kurang Sukses di Indonesia, Film Rafathar Siap Tayang di Malaysia dan Tiga Negara Asia Lainnya! - ... https://t.co/BEz1AOhNPr",DuniakuNet,positive
"@raffiah54713432 @AESBKJ @Rafathar_movie Alhamdulillah...Smoga Sukses&amp;Berkah y Aa Raffi,Mba Gigi,Aa Beibii @RaffiAhmadLagi film RAFATHAR di Malaysia Smg smua usaha RNR brbuah manis🙏",septi_nu_ria,positive
"@RaffiAhmadLagi Alhamdulillah...Smg film RAFATHAR Sukses jga di Malaysi &amp; Smg Ransfathar family sllu dilindungi &amp; diberkahi o/Allah SWT,Happy,Sehat &amp; Sukses",septi_nu_ria,positive
@raffiah54713432 @Rafathar_movie Bismillah... Semoga Sukses utk film RAFATHAR nya di Malaysia.. Semoga ramai yg nonton &amp; Berkah utk Ransfathar family @RaffiAhmadLagi aamiin🙏,septi_nu_ria,positive
